dt,x,y,position,velocity,acceleration,jerk,heading
0.010000,26.816222,2.010975,26.925393,40.182678,29.987073,0.000000,0.157711
0.010000,27.214455,2.074866,27.328719,40.482548,29.987073,0.000000,0.160451
0.010000,27.615471,2.140337,27.735044,40.782419,29.987073,-0.000000,0.163222
0.010000,28.019260,2.207417,28.144367,41.082290,29.987073,0.000000,0.166027
0.010000,28.425815,2.276136,28.556690,41.382161,29.987073,-0.000000,0.168863
0.010000,28.835128,2.346522,28.972010,41.682031,29.987073,0.000000,0.171733
0.010000,29.247190,2.418607,29.390330,41.981902,29.987073,0.000000,0.174636
0.010000,29.661992,2.492419,29.811649,42.281773,29.987073,0.000000,0.177572
0.010000,30.079525,2.567990,30.235966,42.581644,29.987073,-0.000000,0.180542
0.010000,30.499780,2.645351,30.663281,42.881514,29.987073,0.000000,0.183546
0.010000,30.922746,2.724534,31.093596,43.181385,29.987073,-0.000000,0.186585
0.010000,31.348415,2.805569,31.526909,43.481256,29.987073,-0.000000,0.189658
0.010000,31.776775,2.888488,31.963221,43.781126,29.987073,0.000000,0.192765
0.010000,32.207816,2.973326,32.402532,44.080997,29.987073,0.000000,0.195908
0.010000,32.641527,3.060113,32.844841,44.380868,29.987073,-0.000000,0.199086
0.010000,33.077897,3.148884,33.290149,44.680739,29.987073,0.000000,0.202300
0.010000,33.516914,3.239673,33.738456,44.980609,29.987073,-0.000000,0.205550
0.010000,33.958567,3.332512,34.189761,45.280480,29.987073,0.000000,0.208836
0.010000,34.402843,3.427436,34.644065,45.580351,29.987073,0.000000,0.212158
0.010000,34.849730,3.524480,35.101368,45.880222,29.987073,0.000000,0.215517
0.010000,35.299216,3.623680,35.561670,46.180092,29.987073,0.000000,0.218913
0.010000,35.751285,3.725070,36.024970,46.479963,29.987073,0.000000,0.222346
0.010000,36.205926,3.828686,36.491269,46.779834,29.987073,-0.000000,0.225817
0.010000,36.663124,3.934564,36.960567,47.079704,29.987073,0.000000,0.229325
0.010000,37.122864,4.042741,37.432863,47.379575,29.987073,0.000000,0.232871
0.010000,37.585133,4.153254,37.908158,47.679446,29.987073,0.000000,0.236456
0.010000,38.049914,4.266140,38.386452,47.979317,29.987073,0.000000,0.240079
0.010000,38.517192,4.381436,38.867745,48.279187,29.987073,-0.000000,0.243740
0.010000,38.986952,4.499181,39.352036,48.579058,29.987073,0.000000,0.247441
0.010000,39.459176,4.619412,39.839326,48.878929,29.987073,0.000000,0.251181
0.010000,39.933848,4.742169,40.329614,49.178800,29.987073,-0.000000,0.254960
0.010000,40.410950,4.867490,40.822902,49.478670,29.987073,-0.000000,0.258779
0.010000,40.890465,4.995415,41.319188,49.778541,29.987073,0.000000,0.262638
0.010000,41.372375,5.125982,41.818473,50.078412,29.987073,-0.000000,0.266536
0.010000,41.856661,5.259233,42.320756,50.378282,29.987073,0.000000,0.270475
0.010000,42.343303,5.395207,42.826038,50.678153,29.987073,0.000000,0.274455
0.010000,42.832283,5.533945,43.334319,50.978024,29.987073,-0.000000,0.278475
0.010000,43.323579,5.675487,43.845599,51.277895,29.987073,0.000000,0.282536
0.010000,43.817172,5.819876,44.359877,51.577765,29.987073,0.000000,0.286638
0.010000,44.313040,5.967152,44.877154,51.877636,29.987073,-0.000000,0.290781
0.010000,44.811161,6.117357,45.397430,52.177507,29.987073,-0.000000,0.294966
0.010000,45.311514,6.270534,45.920704,52.477378,29.987073,0.000000,0.299192
0.010000,45.814075,6.426724,46.446977,52.777248,29.987073,0.000000,0.303460
0.010000,46.318821,6.585970,46.976249,53.077119,29.987073,0.000000,0.307769
0.010000,46.825729,6.748315,47.508520,53.376990,29.987073,-0.000000,0.312121
0.010000,47.334774,6.913802,48.043789,53.676860,29.987073,0.000000,0.316514
0.010000,47.845931,7.082474,48.582057,53.976731,29.987073,0.000000,0.320950
0.010000,48.359175,7.254375,49.123323,54.276602,29.987073,-0.000000,0.325427
0.010000,48.874479,7.429548,49.667589,54.576473,29.987073,-0.000000,0.329947
0.010000,49.391817,7.608038,50.214853,54.876343,29.987073,0.000000,0.334510
0.010000,49.911162,7.789888,50.765116,55.176214,29.987073,-0.000000,0.339115
0.010000,50.432486,7.975142,51.318377,55.476085,29.987073,0.000000,0.343762
0.010000,50.955760,8.163846,51.874637,55.775956,29.987073,-0.000000,0.348451
0.010000,51.480956,8.356043,52.433896,56.075826,29.987073,0.000000,0.353183
0.010000,52.008043,8.551778,52.996154,56.375697,29.987073,0.000000,0.357958
0.010000,52.536991,8.751096,53.561410,56.675568,29.987073,0.000000,0.362775
0.010000,53.067770,8.954042,54.129665,56.975439,29.987073,-0.000000,0.367634
0.010000,53.600348,9.160660,54.700919,57.275309,29.987073,0.000000,0.372535
0.010000,54.134692,9.370996,55.275171,57.575180,29.987073,0.000000,0.377479
0.010000,54.670771,9.585094,55.852423,57.875051,29.987073,-0.000000,0.382465
0.010000,55.208550,9.803000,56.432672,58.174921,29.987073,-0.000000,0.387493
0.010000,55.747995,10.024758,57.015921,58.474792,29.987073,0.000000,0.392563
0.010000,56.289072,10.250414,57.602168,58.774663,29.987073,-0.000000,0.397674
0.010000,56.831746,10.480013,58.191414,59.074534,29.987073,0.000000,0.402827
0.010000,57.375980,10.713598,58.783659,59.374404,29.987073,-0.000000,0.408021
0.010000,57.921738,10.951216,59.378902,59.674275,29.987073,0.000000,0.413257
0.010000,58.468983,11.192910,59.977144,59.974146,29.987073,0.000000,0.418533
0.010000,59.017676,11.438725,60.578385,60.274017,29.987073,-0.000000,0.423850
0.010000,59.567780,11.688706,61.182625,60.573887,29.987073,-0.000000,0.429208
0.010000,60.119255,11.942897,61.789863,60.873758,29.987073,0.000000,0.434605
0.010000,60.672061,12.201341,62.400100,61.173629,29.987073,0.000000,0.440042
0.010000,61.226158,12.464083,63.013336,61.473499,29.987073,-0.000000,0.445518
0.010000,61.781505,12.731166,63.629570,61.773370,29.987073,-0.000000,0.451034
0.010000,62.338061,13.002633,64.248803,62.073241,29.987073,0.000000,0.456587
0.010000,62.895783,13.278527,64.871035,62.373112,29.987073,0.000000,0.462179
